id,area,area_sqft,lot_size_sqft,bedrooms,bathrooms,stories,parking_spaces,house_age_years,distance_to_city_km,school_quality_index,crime_index,price
1,PECHS,2098,3246,4,4,3,1,19,3.73,2.77,2.21,468238
2,NorthNazimabad,1717,3041,3,2,2,1,25,6.48,7.4,3.88,391372
3,PECHS,2189,6396,4,3,2,1,10,2.37,,7.71,582627
4,PECHS,2714,7164,6,5,2,2,10,18.56,8.77,3.55,695062
5,PECHS,1660,5040,3,2,2,1,21,,9.82,4.42,375105
6,PECHS,1660,4865,3,2,1,0,8,1.63,6.8,5.62,416013
7,PECHS,2748,5721,4,3,2,1,5,2.06,,5.41,593073
8,NorthNazimabad,2260,4096,4,2,1,0,12,4.03,6.15,3.72,579762
9,NorthNazimabad,1518,4079,4,4,1,2,44,5.82,,4.76,430331
10,NorthNazimabad,2126,4182,4,4,2,0,26,11.86,6.64,4.95,555500
11,FB Area,1522,5088,2,1,2,2,42,9.15,3.52,2.7,247345
12,NorthNazimabad,1521,4717,3,3,1,0,46,8.72,8.55,6.89,428394
13,NorthNazimabad,1945,6047,4,3,2,1,26,13.1,7.36,7.95,452043
14,PECHS,652,1551,2,1,3,0,44,35.21,3.52,2.81,183942
15,NayaNazimabad,765,1499,1,1,2,2,26,13.87,,4.29,193868
16,NorthNazimabad,1463,3924,3,2,3,0,37,1.35,5.38,,343831
17,PECHS,1192,1784,2,2,1,3,14,20.28,3.32,8.11,245484
18,PECHS,1989,3525,3,2,2,1,30,8.75,,5.32,447260
19,PECHS,1255,1760,3,1,3,4,4,7.72,,3.26,324302
20,NorthNazimabad,953,3312,1,1,3,0,64,2.83,,4.28,258291
21,FB Area,2679,3867,4,3,2,1,12,3.78,6.52,4.8,551705
22,PECHS,1665,3530,2,1,2,0,35,0.38,6.75,2.95,333262
23,FB Area,1841,3459,3,3,3,2,32,0.49,7.26,4.38,342786
24,NorthNazimabad,945,2898,1,1,3,2,4,13.94,4.9,,242626
25,PECHS,1473,4289,2,2,3,1,1,4.72,,3.23,350814
26,FB Area,1867,6408,2,1,2,0,9,3.35,,5.63,300223
27,FB Area,1109,2637,1,1,2,1,8,6.56,,5.32,165922
28,NorthNazimabad,2025,3319,3,2,2,0,6,1.83,,4.57,443009
29,NayaNazimabad,1440,2760,3,2,1,1,34,0.93,7.12,2.58,443594
30,PECHS,1625,3356,1,1,2,1,78,7.43,5.89,3.08,361935
31,FB Area,1439,2757,2,2,2,3,3,1.88,,6.26,299664
32,NorthNazimabad,2911,5216,5,5,2,0,37,11.84,9.6,6.78,768270
33,FB Area,1792,3201,4,4,3,1,28,20.51,9.6,4.47,363160
34,Clifton,1165,2395,2,1,1,2,21,1.35,5.7,3.26,340276
35,NayaNazimabad,2294,4164,4,3,3,1,47,3.52,,4.29,548158
36,PECHS,1067,2686,2,1,1,0,7,3.7,6.08,6.99,239015
37,NayaNazimabad,1925,3100,2,1,2,1,22,8.61,6.99,1.92,509900
38,FB Area,624,2093,2,1,3,2,9,3.75,4.59,6.51,132930
39,NorthNazimabad,1003,1859,2,1,2,1,6,0.2,8.36,6.21,300614
40,PECHS,1918,5556,4,3,2,2,8,20.04,3.35,2.84,481228
41,FB Area,2243,5603,5,4,3,2,1,16.65,6.54,5.03,389143
42,PECHS,1903,6494,2,1,3,2,21,0.61,8.13,5.39,449973
43,Clifton,1731,5612,2,1,1,1,5,0.86,7.73,4.84,419098
44,FB Area,1619,4836,3,2,2,2,6,4.41,7.69,5.57,288073
45,Clifton,913,1423,1,1,1,1,17,10.75,,6.37,278327
46,FB Area,1368,4385,2,1,3,3,2,12.03,6.37,3.7,265138
47,NorthNazimabad,1524,5082,2,2,3,1,47,17.67,8.8,2.4,410364
48,PECHS,2434,5578,4,4,2,0,18,1.02,6.17,5.2,510239
49,FB Area,2006,3315,5,3,3,1,28,0.4,5.61,3.88,364702
50,PECHS,742,2475,3,3,2,1,28,0.2,8.83,5.14,223343
51,NorthNazimabad,1994,3321,2,1,3,1,24,0.38,7.89,1.15,566216
52,FB Area,1569,4206,2,1,2,2,8,4.12,9.95,3.79,341554
53,NorthNazimabad,1394,4817,2,2,2,1,9,18.43,5.38,4.59,391701
54,Clifton,2167,6672,3,3,2,1,7,22.67,9.16,,612381
55,PECHS,2419,6743,3,2,2,2,8,5.79,9.07,6.88,493738
56,NorthNazimabad,2359,4389,4,4,1,1,1,1.72,5.99,8.71,719424
57,PECHS,1296,3584,2,1,3,0,27,6.73,3.4,3.91,274648
58,PECHS,1614,1939,2,1,3,0,15,9.36,9.58,3.0,324790
59,NorthNazimabad,1999,6480,3,2,2,2,7,4.11,7.77,,478260
60,FB Area,2385,5245,5,5,2,4,0,6.08,5.39,,423319
61,FB Area,1512,3553,2,1,1,0,13,29.13,6.79,8.5,240983
62,PECHS,1689,5157,3,2,3,4,36,5.88,8.39,4.44,399550
63,NorthNazimabad,1136,2041,1,1,3,1,12,1.33,8.73,3.96,296704
64,PECHS,1082,1705,1,1,2,0,7,11.6,3.31,4.97,219201
65,Clifton,2288,3521,4,3,1,1,12,9.64,10.0,,616998
66,FB Area,2614,3756,5,4,1,0,1,3.56,8.75,1.28,544273
67,NorthNazimabad,1757,4617,3,3,2,0,34,25.26,6.13,3.67,439978
68,NorthNazimabad,2402,6104,3,2,1,3,5,2.38,8.24,4.27,587903
69,FB Area,2017,6444,3,2,2,0,6,1.66,9.26,4.15,360013
70,PECHS,1413,3165,3,2,3,1,22,2.99,7.37,2.64,408873
71,PECHS,2017,3008,4,4,3,0,33,12.62,5.77,,493331
72,NorthNazimabad,2723,9248,4,3,3,3,12,18.43,4.44,6.73,743340
73,PECHS,1779,5628,4,3,1,2,38,5.2,8.69,8.27,446010
74,Clifton,2739,8366,4,3,2,2,4,1.8,4.89,1.59,734232
75,FB Area,400,594,1,1,3,2,18,3.6,,10.0,65613
76,NayaNazimabad,2293,3860,3,1,2,1,10,14.8,,5.89,465849
77,Clifton,1852,5329,3,2,1,1,31,26.96,9.15,4.38,450875
78,PECHS,1621,2472,3,2,2,1,7,8.25,8.07,3.46,366922
79,NayaNazimabad,1855,3182,3,2,1,0,21,3.1,,5.74,409044
80,NorthNazimabad,607,1392,1,1,2,1,59,11.41,5.83,2.61,174649
81,FB Area,1668,5001,4,4,3,0,10,1.04,7.18,3.61,334182
82,PECHS,2014,3425,3,2,2,0,7,4.1,10.0,4.0,417950
83,NorthNazimabad,2687,4799,5,3,2,1,16,22.77,8.38,1.15,574793
84,PECHS,1489,3167,2,1,3,1,41,1.99,7.06,4.61,289889
85,PECHS,1315,4311,2,1,3,1,11,3.33,,7.0,348724
86,PECHS,1499,3564,3,3,3,1,1,16.44,7.04,1.1,436414
87,NorthNazimabad,2349,7314,4,3,1,1,1,9.83,7.33,5.36,601075
88,PECHS,1997,4934,3,2,2,1,1,20.95,7.97,3.29,498571
