id,area_sqft,lot_size_sqft,bedrooms,stories,parking_spaces,house_age_years,distance_to_city_km,school_quality_index,crime_index,price,total_rooms,yard_size_sqft,space_per_room,area_FB Area,area_NayaNazimabad,area_NorthNazimabad,area_PECHS
1,2098,3246,4,3,1,19,3.73,3.630000000000001,2.21,468238.0,8,1148,233.11111111111111,0,0,0,1
2,1717,3041,3,2,1,25,6.48,7.4,3.88,391372.0,5,1324,286.1666666666667,0,0,1,0
3,2189,6396,4,2,1,10,2.37,6.952173913043478,7.71,582627.0,7,4207,273.625,0,0,0,1
4,2714,7164,6,2,2,10,18.56,8.77,3.55,695062.0,11,4450,226.16666666666666,0,0,0,1
6,1660,4865,3,1,0,8,1.63,6.8,5.62,416013.0,5,3205,276.6666666666667,0,0,0,1
7,2748,5721,4,2,1,5,2.06,6.952173913043478,5.41,593073.0,7,2973,343.5,0,0,0,1
8,2260,4096,4,1,0,12,4.03,6.15,3.72,579762.0,6,1836,322.85714285714283,0,0,1,0
9,1518,4079,4,1,2,44,5.82,6.952173913043478,4.76,430331.0,8,2561,168.66666666666666,0,0,1,0
10,2126,4182,4,2,0,26,11.86,6.64,4.95,555500.0,8,2056,236.22222222222223,0,0,1,0
11,1522,5088,2,2,2,42,9.15,3.630000000000001,2.7,247345.0,3,3566,380.5,1,0,0,0
12,1521,4717,3,1,0,46,8.72,8.55,6.89,428394.0,6,3196,217.28571428571428,0,0,1,0
13,1945,6047,4,2,1,26,13.1,7.36,7.95,452043.0,7,4102,243.125,0,0,1,0
14,652,1551,2,3,0,44,24.36,3.630000000000001,2.81,183942.0,3,899,163.0,0,0,0,1
15,765,1499,1,2,2,26,13.87,6.952173913043478,4.29,193868.0,2,734,255.0,0,1,0,0
16,1463,3924,3,3,0,37,1.35,5.38,4.98,343831.0,5,2461,243.83333333333334,0,0,1,0
17,1192,1784,2,1,3,14,20.28,3.630000000000001,8.11,245484.0,4,592,238.4,0,0,0,1
18,1989,3525,3,2,1,30,8.75,6.952173913043478,5.32,447260.0,5,1536,331.5,0,0,0,1
19,1255,1760,3,3,4,4,7.72,6.952173913043478,3.26,324302.0,4,505,251.0,0,0,0,1
20,953,3312,1,3,0,64,2.83,6.952173913043478,4.28,258291.0,2,2359,317.6666666666667,0,0,1,0
21,2679,3867,4,2,1,12,3.78,6.52,4.8,551705.0,7,1188,334.875,1,0,0,0
22,1665,3530,2,2,0,35,0.38,6.75,2.95,333262.0,3,1865,416.25,0,0,0,1
23,1841,3459,3,3,2,32,0.49,7.26,4.38,342786.0,6,1618,263.0,1,0,0,0
24,945,2898,1,3,2,4,13.94,4.9,4.98,242626.0,2,1953,315.0,0,0,1,0
25,1473,4289,2,3,1,1,4.72,6.952173913043478,3.23,350814.0,4,2816,294.6,0,0,0,1
26,1867,6408,2,2,0,9,3.35,6.952173913043478,5.63,300223.0,3,4541,466.75,1,0,0,0
27,1109,2637,1,2,1,8,6.56,6.952173913043478,5.32,165922.0,2,1528,369.6666666666667,1,0,0,0
28,2025,3319,3,2,0,6,1.83,6.952173913043478,4.57,443009.0,5,1294,337.5,0,0,1,0
29,1440,2760,3,1,1,34,0.93,7.12,2.58,443594.0,5,1320,240.0,0,1,0,0
30,1625,3356,1,2,1,78,7.43,5.89,3.08,361935.0,2,1731,541.6666666666666,0,0,0,1
31,1439,2757,2,2,3,3,1.88,6.952173913043478,6.26,299664.0,4,1318,287.8,1,0,0,0
32,2911,5216,5,2,0,37,11.84,9.6,6.78,768270.0,10,2305,264.6363636363636,0,0,1,0
33,1792,3201,4,3,1,28,20.51,9.6,4.47,363160.0,8,1409,199.11111111111111,1,0,0,0
34,1165,2395,2,1,2,21,1.35,5.7,3.26,340276.0,3,1230,291.25,0,0,0,0
35,2294,4164,4,3,1,47,3.52,6.952173913043478,4.29,548158.0,7,1870,286.75,0,1,0,0
36,1067,2686,2,1,0,7,3.7,6.08,6.99,239015.0,3,1619,266.75,0,0,0,1
37,1925,3100,2,2,1,22,8.61,6.99,1.92,509900.0,3,1175,481.25,0,1,0,0
38,624,2093,2,3,2,9,3.75,4.59,6.51,132930.0,3,1469,156.0,1,0,0,0
39,1003,1859,2,2,1,6,0.2,8.36,6.21,300614.0,3,856,250.75,0,0,1,0
40,1918,5556,4,2,2,8,20.04,3.630000000000001,2.84,481228.0,7,3638,239.75,0,0,0,1
41,2243,5603,5,3,2,1,16.65,6.54,5.03,389143.0,9,3360,224.3,1,0,0,0
42,1903,6494,2,3,2,21,0.61,8.13,5.39,449973.0,3,4591,475.75,0,0,0,1
43,1731,5612,2,1,1,5,0.86,7.73,4.84,419098.0,3,3881,432.75,0,0,0,0
44,1619,4836,3,2,2,6,4.41,7.69,5.57,288073.0,5,3217,269.8333333333333,1,0,0,0
45,913,1423,1,1,1,17,10.75,6.952173913043478,6.37,278327.0,2,510,304.3333333333333,0,0,0,0
46,1368,4385,2,3,3,2,12.03,6.37,3.7,265138.0,3,3017,342.0,1,0,0,0
47,1524,5082,2,3,1,47,17.67,8.8,2.4,410364.0,4,3558,304.8,0,0,1,0
48,2434,5578,4,2,0,18,1.02,6.17,5.2,510239.0,8,3144,270.44444444444446,0,0,0,1
49,2006,3315,5,3,1,28,0.4,5.61,3.88,364702.0,8,1309,222.88888888888889,1,0,0,0
50,742,2475,3,2,1,28,0.2,8.83,5.14,223343.0,6,1733,106.0,0,0,0,1
51,1994,3321,2,3,1,24,0.38,7.89,1.15,566216.0,3,1327,498.5,0,0,1,0
52,1569,4206,2,2,2,8,4.12,9.95,3.79,341554.0,3,2637,392.25,1,0,0,0
53,1394,4817,2,2,1,9,18.43,5.38,4.59,391701.0,4,3423,278.8,0,0,1,0
54,2167,6672,3,2,1,7,22.67,9.16,4.98,612381.0,6,4505,309.57142857142856,0,0,0,0
55,2419,6743,3,2,2,8,5.79,9.07,6.88,493738.0,5,4324,403.1666666666667,0,0,0,1
56,2359,4389,4,1,1,1,1.72,5.99,8.71,719424.0,8,2030,262.1111111111111,0,0,1,0
57,1296,3584,2,3,0,27,6.73,3.630000000000001,3.91,274648.0,3,2288,324.0,0,0,0,1
58,1614,1939,2,3,0,15,9.36,9.58,3.0,324790.0,3,325,403.5,0,0,0,1
59,1999,6480,3,2,2,7,4.11,7.77,4.98,478260.0,5,4481,333.1666666666667,0,0,1,0
60,2385,5245,5,2,4,0,6.08,5.39,4.98,423319.0,10,2860,216.8181818181818,1,0,0,0
61,1512,3553,2,1,0,13,24.36,6.79,8.5,240983.0,3,2041,378.0,1,0,0,0
62,1689,5157,3,3,4,36,5.88,8.39,4.44,399550.0,5,3468,281.5,0,0,0,1
63,1136,2041,1,3,1,12,1.33,8.73,3.96,296704.0,2,905,378.6666666666667,0,0,1,0
64,1082,1705,1,2,0,7,11.6,3.630000000000001,4.97,219201.0,2,623,360.6666666666667,0,0,0,1
65,2288,3521,4,1,1,12,9.64,10.0,4.98,616998.0,7,1233,286.0,0,0,0,0
66,2614,3756,5,1,0,1,3.56,8.75,1.28,544273.0,9,1142,261.4,1,0,0,0
67,1757,4617,3,2,0,34,24.36,6.13,3.67,439978.0,6,2860,251.0,0,0,1,0
68,2402,6104,3,1,3,5,2.38,8.24,4.27,587903.0,5,3702,400.3333333333333,0,0,1,0
69,2017,6444,3,2,0,6,1.66,9.26,4.15,360013.0,5,4427,336.1666666666667,1,0,0,0
70,1413,3165,3,3,1,22,2.99,7.37,2.64,408873.0,5,1752,235.5,0,0,0,1
71,2017,3008,4,3,0,33,12.62,5.77,4.98,493331.0,8,991,224.11111111111111,0,0,0,1
72,2723,9248,4,3,3,12,18.43,4.44,6.73,743340.0,7,6525,340.375,0,0,1,0
